epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,22137.5,1.42761,0.93615,0.91591,0.81114,0.68046,0.74515,0.53789,1.40778,0.88501,0.91929,0.000126185,0.000126185,0.000126185
121,22328.6,1.4142,0.92653,0.91256,0.81787,0.67461,0.74319,0.53864,1.40149,0.88972,0.91868,0.000122304,0.000122304,0.000122304
122,22514.7,1.41181,0.9117,0.91215,0.81522,0.68179,0.75036,0.54012,1.3976,0.89004,0.91687,0.000118423,0.000118423,0.000118423
123,22761.6,1.41029,0.91332,0.90966,0.80725,0.68109,0.74571,0.54396,1.39751,0.88669,0.91772,0.000114542,0.000114542,0.000114542
124,23050.8,1.41993,0.92866,0.90726,0.85225,0.66321,0.74057,0.53833,1.39622,0.8781,0.91752,0.000110662,0.000110662,0.000110662
125,23171,1.40098,0.91561,0.90614,0.80618,0.68927,0.74928,0.54767,1.39467,0.88027,0.91726,0.000106781,0.000106781,0.000106781
126,23321.1,1.4294,0.93279,0.90893,0.82146,0.68863,0.75337,0.54695,1.39755,0.88724,0.91604,0.0001029,0.0001029,0.0001029
127,23453.1,1.39901,0.90043,0.91182,0.81458,0.68511,0.74993,0.54338,1.39392,0.87758,0.91695,9.90192e-05,9.90192e-05,9.90192e-05
128,23637.1,1.42721,0.92225,0.91225,0.81745,0.69263,0.755,0.5512,1.39736,0.87655,0.91614,9.51384e-05,9.51384e-05,9.51384e-05
129,23771.4,1.40411,0.90292,0.90913,0.79691,0.69072,0.75756,0.54946,1.3956,0.86589,0.91656,9.12576e-05,9.12576e-05,9.12576e-05
130,23897.6,1.38587,0.89904,0.90696,0.80784,0.70079,0.76113,0.54842,1.39696,0.87204,0.91662,8.73768e-05,8.73768e-05,8.73768e-05
131,24208.8,1.40913,0.90936,0.91102,0.82214,0.68748,0.75823,0.54809,1.39107,0.87621,0.91587,8.3496e-05,8.3496e-05,8.3496e-05
132,24323.7,1.41011,0.90956,0.90917,0.81875,0.68384,0.7554,0.55214,1.38544,0.86716,0.91544,7.96152e-05,7.96152e-05,7.96152e-05
133,24514,1.39589,0.90101,0.90793,0.81379,0.686,0.75373,0.54986,1.38664,0.86778,0.915,7.57344e-05,7.57344e-05,7.57344e-05
134,24671,1.40455,0.90658,0.90779,0.81486,0.68729,0.75327,0.54761,1.38891,0.86537,0.91537,7.18536e-05,7.18536e-05,7.18536e-05
135,24904.7,1.4025,0.90755,0.90581,0.81629,0.68802,0.755,0.55377,1.38405,0.86154,0.91495,6.79728e-05,6.79728e-05,6.79728e-05
136,25169.6,1.41218,0.90513,0.9097,0.80942,0.69358,0.75749,0.55074,1.38985,0.86398,0.91553,6.4092e-05,6.4092e-05,6.4092e-05
137,25626.5,1.40668,0.90694,0.90635,0.82718,0.68554,0.75773,0.55067,1.38407,0.86132,0.91421,6.02112e-05,6.02112e-05,6.02112e-05
138,25772.4,1.37333,0.88889,0.90854,0.82908,0.69179,0.76615,0.56146,1.37765,0.85676,0.91364,5.63304e-05,5.63304e-05,5.63304e-05
139,26010.1,1.3889,0.88698,0.90556,0.82638,0.69362,0.76315,0.55631,1.38085,0.85505,0.91256,5.24496e-05,5.24496e-05,5.24496e-05
140,26153.5,1.38577,0.89173,0.90442,0.82307,0.69422,0.7636,0.5557,1.38396,0.85774,0.9139,4.85688e-05,4.85688e-05,4.85688e-05
141,26263.8,1.42562,0.91832,0.91364,0.81008,0.68577,0.74948,0.53834,1.40372,0.88603,0.91922,4.4688e-05,4.4688e-05,4.4688e-05
142,26315.5,1.41668,0.92286,0.91236,0.82933,0.67157,0.74609,0.53788,1.39801,0.88681,0.91789,4.08072e-05,4.08072e-05,4.08072e-05
143,26406.9,1.3896,0.89725,0.90691,0.81904,0.67554,0.75048,0.54268,1.39889,0.87947,0.91817,3.69264e-05,3.69264e-05,3.69264e-05
144,26461.1,1.38465,0.88349,0.90503,0.81028,0.6834,0.75431,0.54326,1.39808,0.87985,0.91735,3.30456e-05,3.30456e-05,3.30456e-05
145,26541.9,1.3848,0.88269,0.90502,0.81793,0.69093,0.75695,0.54576,1.39146,0.87523,0.91618,2.91648e-05,2.91648e-05,2.91648e-05
146,26624.1,1.38318,0.88888,0.90534,0.83211,0.68298,0.76067,0.54844,1.38846,0.87225,0.91577,2.5284e-05,2.5284e-05,2.5284e-05
147,26689.2,1.38223,0.88686,0.90295,0.82662,0.68258,0.7584,0.54706,1.38982,0.87186,0.91531,2.14032e-05,2.14032e-05,2.14032e-05
148,26776.2,1.37137,0.8764,0.9033,0.82,0.68206,0.75467,0.54549,1.3866,0.8703,0.91489,1.75224e-05,1.75224e-05,1.75224e-05
149,26828.2,1.37272,0.87366,0.90555,0.80957,0.68267,0.75544,0.54638,1.39084,0.87154,0.9157,1.36416e-05,1.36416e-05,1.36416e-05
150,26869.2,1.37399,0.87104,0.89791,0.80747,0.69122,0.75974,0.55017,1.38624,0.86852,0.91517,9.7608e-06,9.7608e-06,9.7608e-06
